Team,FCI,MHI,League
Angels,130,53367,American
Astros,221,49047,American
Athletics,178,53367,National
BlueJays,212,73600,American
Braves,169,45973,National
Brewers,160,52058,National
Cardinals,223,45774,National
Cubs,306,50637,National
Dbacks,121,48621,National
Dodgers,226,53367,National
Giants,208,53367,National
Indisns,171,44648,American
Mariners,184,56850,American
Marlins,160,45105,National
Mets,242,50636,National
Nationals,196,55251,National
Orioles,174,68876,American
Padres,126,53367,National
Phillies,241,49910,National
Pitrates,128,49910,National
Rangers,159,49047,American
Rays,140,45105,American
Red Sox,339,63313,American
Reds,162,44648,National
Rockies,161,58629,National
Royals,160,46147,American
Tigers,207,48879,American
Twins,214,57820,American
White Sox,259,50637,American
Yankees,338,50636,American
