country,language,status,age,gender,nflights,flight_latest,flight_type,flight_purpose,flight_class,nps,reputation,sat1,sat2,sat3,overall_sat,loy1,loy2,loy3,loy4,loy5,com1,com2,com3,e1,s1,e2,s2,e3,s3,e4,s4,e5,s5,e6,s6,e7,s7,e8,s8,e9,s9,e10,s10,e11,s11,e12,s12,e13,s13,e14,s14,e15,s15,e16,s16,e17,s17,e18,s18,e19,s19,e20,s20,e21,s21,e22,s22,e23,s23,commitment
2,3,1,30,2,2,5,1,2,3,7,4,6,3,5,3,4,4,4,1,4,2,2,1,76,50,86,75,84,50,90,80,83,21,81,21,88,16,82,38,89,73,77,50,87,24,30,50,87,30,89,50,87,18,90,77,89,78,85,50,88,50,90,50,76,50,78,27,83,21,1.6666666666666667
2,2,3,55,2,6,4,2,1,2,11,7,7,7,7,7,7,7,7,6,7,7,7,7,100,100,100,100,100,97,100,100,97,98,97,98,99,99,94,94,100,100,99,96,100,100,100,100,98,97,90,88,98,97,99,98,86,86,94,96,98,97,97,96,100,100,93,95,87,84,7
2,2,1,56,1,8,3,1,1,3,9,5,5,3,3,3,4,5,1,3,5,1,1,1,100,50,100,50,100,50,100,50,100,1,100,1,100,1,70,36, , ,100,1,100,1, , ,67,10,58,51,100,1,50,50,92,10,98,38,49,44,67,25,98,49,32,32,29,50,1
4,3,1,43,1,7,4,1,2,3,9,7,7,7,5,5,7,5,6,5,6,7,7,7,100,83,85,81,99,63,97,83,87,63,86,63,98,60,87,72,100,73,100,77,100,69,100,60,100,69,87,69,100,13,81,70,100,73,100,70,100,39,100,84,82,87,70,43,96,71,7
2,2,3,44,1,25,2,2,1,2,7,6,5,4,3,3,4,4,3,3,3,4,4,3,70,38,69,40,76,36,84,38,88,42,86,42,91,44,82,62,56,55,57,52,62,58, , ,52,51,82,42,80,36,80,46,83,40,71,42,83,41,77,54,76,44,92,38,84,39,3.6666666666666665
2,1,3,40,2,16,3,2,2,1,8,4,1,3,1,5,3,4,3,4,3,1,7,4,100,100,100,50,100,1,100,100,100,43,100,60,100,50,100,49,100,47,100,100,100,47,100,100,100,93,100,1,100,48,100,71,100,39,100,42,100,47,100,35,100,24,81,49,61,42,4
2,3,1,39,2,35,2,1,1,3,9,4,7,4,6,5,3,1,1,1,7,1,1,1,100,1,100,72,100,1,100,1,82,57,100,82,86,42,88,54,100,81,100,83,100,73,100,62,100,82,84,1,70,39,83,26,84,59,99,39,82,67,76,78,99,57,69,43,100,49,1
2,3,3,41,2,9,4,2,1,2,8,5,6,4,5,5,5,5,5,6,6,5,5,6,97,94,84,82,78,74,100,70,100,62,100,65,100,66,98,67,96,94,96,87,88,77,77,76,89,87,94,74,100,80,100,72,100,80,100,68,100,76,100,77,92,73,98,37,90,53,5.333333333333333
2,3,1,33,2,3,4,1,2,3,9,3,5,5,5,5,5,5,3,2,3,4,4,4,100,89,100,100,100,68,100,81,100,73,100,77,100,69,100,69,100,76,100,65,100,38,100,78,100,61,100,65,100,33,100,40,100,64,100,80,100,68,100,77,100,70,100,66,100,33,4
1,1,3,51,2,4,5,2,1,2,9,5,5,5,4,4,4,5,4,4,5,2,1,1,94,50,80,50,59,33,94,50,91,57,90,54,98,63,61,73,56,50,54,50,70,50,57,50,77,32,53,50,72,50,62,61,59,55,61,58,50,50,50,50, , ,58,50,74,40,1.3333333333333333
1,1,2,49,1,18,3,1,1,3,10,7,6,6,6,5,6,6,6,7,6,6,5,3,100,87,100,84,99,82,100,93,93,92,84,80,91,70,85,86,100,93,100,86,100,84,94,76,88,80,86,82,73,49,51,50,85,82,89,83,74,71,71,50,97,95,82,74,96,50,4.666666666666667
1,1,1,49,1,2,4,1,2,3,11,7,7,7,7,7,7,7,7,7,7,7,6,6,100,100,100,100,100,89,100,100,100,100,100,100,100,92,100,97,100,93,100,94,100,92,100,94,100,94,100,93,100,90,100,100,100,100,100,100,100,99,100,100,97,95,100,100,95,96,6.333333333333333
1,1,1,58,1,2,4,2,2,3,9,5,5,5,3,2,5,5,5,4,5,4,3,3,100,87,100,30,100,15,100,79,100,40,100,20,100,36,100,26,100,82,100,45,100,64,100,75,99,45,41,32,28,24,100,26,87,82,100,65,100,57,100,95,100,77,54,55,100,36,3.3333333333333335
1,1,3,49,1,20,3,1,1,3,11,5,5,7,5,5,7,7,7,7,7,7,7,7,100,46,100,25,81,51,100,50,62,50,54,50,68,50,78,50,100,50,100,50,66,61,100,50,100,47,100,43,72,50,53,50,100,46,100,41,60,50,100,28,68,43,59,50,100,38,7
1,1,2,53,2,18,2,1,1,3,7,7,6,5,4,3,4,4,1,7,7,4,5,1,100,92,92,85,83,73,86,78,64,63,70,65,75,61,72,73,83,84,82,81,77,79,72,77,90,82,67,64,76,90,72,66,75,63,70,63,60,54,65,66,72,76,63,63,63,34,3.3333333333333335
1,1,3,53,2,3,4,1,1,3,9,5,6,5,4,6,6,6,6,7,7,7,7,7,78,76,79,75,100,42,99,74,78,77,89,88,85,36,93,81,100,72,100,50,100,70,100,53,100,42,93,71,70,84,100,70,100,51,87,48,78,49,95,64,99,43,42,57,88,84,7
1,1,1,59,2,10,4,1,1,3,1,1,3,1,1,5,1,1,1,3,1,1,3,3,60,62,83,8,74,1,84,5,40,6,83,89,62,60,71,60,87,68,73,61,96,85,78,78,56,63,99,1,69,65,67,89,68,12,83,32,84,48,74,13,58,9, , ,82,55,2.3333333333333335
1,2,1,22,1,3,2,2,2,3,9,6,6,6,5,5,6,6,6,5,6,6,6,7,87,81,82,72,85,83,85,81,79,59,77,64,72,52,77,63,98,95,78,82,80,77,83,78,84,85,85,84,71,72,86,86,84,79,78,78,80,81,74,77,66,67,84,85,64,67,6.333333333333333
